{3  JetEta JetPt Rho 1 JetPt (min(sqrt([0]*[0]/(x*x)+[1]*[1]/x+[2]*[2]+pow([3]/x,4)),1.))*(sqrt([4]*abs([4])/(x*x)+[5]*[5]/x+[6]*[6])/sqrt([7]*abs([7])/(x*x)+[8]*[8]/x+[9]*[9])) Resolution}
-5.191 -4.889 5 6800 0 200 12  8 102 4.505 0.524 0.08 13.53 10.863 0.6689 0.12 10.863 0.5 0.065 
-4.889 -4.716 5 6800 0 200 12  8 121 5.741 0.5 0.08 12.68 10 0.8377 0.12 9 0.7539 0.065 
-4.716 -4.538 5 6800 0 200 12  8 145 0.01 0.8666 0.08 15.58 10 0.6624 0.09468 9 0.5 0.065 
-4.538 -4.363 5 6800 0 200 12  8 173 0.007 0.8243 0.08 14.9 9.667 0.5 0.12 9 0.5 0.065 
-4.363 -4.191 5 6800 0 200 12  8 205 0.005 0.7488 0.08 15.2 9.413 0.6167 0.12 9 0.5469 0.065 
-4.191 -4.013 5 6800 0 200 12  8 245 2.731 0.5001 0.0919 14.84 9.48 0.5745 0.10485 9 0.5 0.065 
-4.013 -3.839 5 6800 0 200 12  8 292 3.842 0.5 0.0841 14.08 6.475 0.9471 0.10554 6.475 0.8286 0.065 
-3.839 -3.664 5 6800 0 200 12  8 348 4.611 0.5 0.0825 13.51 6.748 0.9226 0.09781 6.424 0.7813 0.065 
-3.664 -3.489 5 6800 0 200 12  8 414 0.011 0.865 0.0879 17.34 6.736 1.0537 0.10775 5.937 1.0332 0.065 
-3.489 -3.314 5 6800 0 200 12  8 493 0.007 1.0336 0.0809 18.57 8.071 1.0684 0.09249 7.227 1.0684 0.065 
-3.314 -3.139 5 6800 0 200 12  8 588 0.014 1.0215 0.0939 19.11 7.627 1.0913 0.10908 6.517 1.0913 0.065 
-3.139 -2.964 5 6800 0 200 12  8 700 9.24 1.3154 0.12 20 6.248 1.6188 0.17288 3.544 1.3805 0.11745 
-2.964 -2.853 5 6800 0 200 12  8 781 13.333 0.9802 0.0808 18.23 3 1.5401 0.20329 3 1.4954 0.06433 
-2.853 -2.65 5 6800 0 200 12  8 956 13.88 0.5 0.0555 0 6.664 1.3783 0.12819 6.664 1.2426 0.03 
-2.65 -2.5 5 6800 0 200 12  8 1108 11.888 0.7025 0.047 0 8.069 1.257 0.08708 7.39 1.1009 0.03 
-2.5 -2.322 5 6800 0 200 12  8 1321 10.24 0.7777 0.044 0 8.971 1.1395 0.05851 7.188 1.0647 0.03 
-2.322 -2.172 5 6800 0 200 12  8 1529 10.073 0.7677 0.0434 0 8.539 1.2267 0.03636 6.746 1.0893 0.03 
-2.172 -2.043 5 6800 0 200 12  8 1733 9.5 0.8213 0.0431 0 6.805 1.2958 0.03268 4.763 1.1887 0.03 
-2.043 -1.93 5 6800 0 200 12  8 1933 9.185 0.8503 0.0407 0 7.603 1.2361 0.03451 5.628 1.1357 0.03 
-1.93 -1.83 5 6800 0 200 12  8 2126 8.762 0.925 0.0428 0 6.627 1.3045 0.03637 4.403 1.1827 0.03388 
-1.83 -1.74 5 6800 0 200 12  8 2315 8.102 1.0334 0.0469 0 7.116 1.2845 0.04172 5.043 1.1677 0.03396 
-1.74 -1.653 5 6800 0 200 12  8 2511 7.77 1.0362 0.0458 0 7.509 1.2958 0.04108 5.448 1.1429 0.03674 
-1.653 -1.566 5 6800 0 200 12  8 2721 7.656 1.0264 0.0439 0 7.024 1.3029 0.05173 5.031 1.1525 0.04352 
-1.566 -1.479 5 6800 0 200 12  8 2946 8.297 1.0661 0.0537 0 8.381 1.3513 0.07586 6.664 1.1294 0.05552 
-1.479 -1.392 5 6800 0 200 12  8 3183 7.731 1.2011 0.0543 0 6.882 1.4145 0.07522 4.307 1.2994 0.05178 
-1.392 -1.305 5 6800 0 200 12  8 3435 7.999 1.1506 0.0546 0 8.586 1.3234 0.07107 6.764 1.135 0.06516 
-1.305 -1.218 5 6800 0 200 12  8 3699 7.674 1.0767 0.0567 0 8.796 1.2169 0.0579 5.402 1.1741 0.0579 
-1.218 -1.131 5 6800 0 200 12  8 3974 7.076 1.0543 0.0509 0 8.994 1.1917 0.05427 6.31 1.1072 0.05427 
-1.131 -1.044 5 6800 0 200 12  8 4259 6.653 1.0266 0.0482 0 7.716 1.2551 0.04983 5.451 1.1186 0.04983 
-1.044 -0.957 5 6800 0 200 12  8 4551 6.266 0.9902 0.0454 0 6.271 1.2795 0.04631 4.603 1.1289 0.04631 
-0.957 -0.879 5 6800 0 200 12  8 4816 5.949 0.9645 0.0452 0 5.635 1.2833 0.04437 4.07 1.1367 0.04437 
-0.879 -0.783 5 6800 0 200 12  8 5141 6.645 0.8639 0.0435 0 4.939 1.2967 0.0425 3 1.1517 0.0425 
-0.783 -0.696 5 6800 0 200 12  8 5430 6.435 0.8547 0.041 0 4.803 1.2905 0.04082 3 1.146 0.03866 
-0.696 -0.609 5 6800 0 200 12  8 5708 6.368 0.8556 0.04 0 4.99 1.297 0.03967 3 1.1454 0.03783 
-0.609 -0.522 5 6800 0 200 12  8 5968 6.274 0.8733 0.0386 0 5.187 1.307 0.03836 3.147 1.1393 0.03784 
-0.522 -0.435 5 6800 0 200 12  8 6203 6.288 0.8698 0.0384 0 5.102 1.2985 0.03808 3.205 1.1376 0.03739 
-0.435 -0.348 5 6800 0 200 12  8 6408 6.249 0.8728 0.0378 0 4.805 1.3038 0.03798 3.144 1.148 0.03723 
-0.348 -0.261 5 6800 0 200 12  8 6574 6.202 0.8784 0.0371 0 5.327 1.2812 0.03947 3 1.1676 0.03642 
-0.261 -0.174 5 6800 0 200 12  8 6698 6.182 0.8831 0.0367 0 5.131 1.2925 0.0424 3 1.1697 0.03674 
-0.174 -0.087 5 6800 0 200 12  8 6774 6.469 0.8611 0.0387 0 5.515 1.2886 0.04166 3 1.1704 0.03676 
-0.087 -0 5 6800 0 200 12  8 6800 7.061 0.8342 0.0386 0 5.71 1.2791 0.04323 3 1.1668 0.03773 
0 0.087 5 6800 0 200 12  8 6800 7.061 0.8342 0.0386 0 5.71 1.2791 0.04323 3 1.1668 0.03773 
0.087 0.174 5 6800 0 200 12  8 6774 6.469 0.8611 0.0387 0 5.515 1.2886 0.04166 3 1.1704 0.03676 
0.174 0.261 5 6800 0 200 12  8 6698 6.182 0.8831 0.0367 0 5.131 1.2925 0.0424 3 1.1697 0.03674 
0.261 0.348 5 6800 0 200 12  8 6574 6.202 0.8784 0.0371 0 5.327 1.2812 0.03947 3 1.1676 0.03642 
0.348 0.435 5 6800 0 200 12  8 6408 6.249 0.8728 0.0378 0 4.805 1.3038 0.03798 3.144 1.148 0.03723 
0.435 0.522 5 6800 0 200 12  8 6203 6.288 0.8698 0.0384 0 5.102 1.2985 0.03808 3.205 1.1376 0.03739 
0.522 0.609 5 6800 0 200 12  8 5968 6.274 0.8733 0.0386 0 5.187 1.307 0.03836 3.147 1.1393 0.03784 
0.609 0.696 5 6800 0 200 12  8 5708 6.368 0.8556 0.04 0 4.99 1.297 0.03967 3 1.1454 0.03783 
0.696 0.783 5 6800 0 200 12  8 5430 6.435 0.8547 0.041 0 4.803 1.2905 0.04082 3 1.146 0.03866 
0.783 0.879 5 6800 0 200 12  8 5141 6.645 0.8639 0.0435 0 4.939 1.2967 0.0425 3 1.1517 0.0425 
0.879 0.957 5 6800 0 200 12  8 4816 5.949 0.9645 0.0452 0 5.635 1.2833 0.04437 4.07 1.1367 0.04437 
0.957 1.044 5 6800 0 200 12  8 4551 6.266 0.9902 0.0454 0 6.271 1.2795 0.04631 4.603 1.1289 0.04631 
1.044 1.131 5 6800 0 200 12  8 4259 6.653 1.0266 0.0482 0 7.716 1.2551 0.04983 5.451 1.1186 0.04983 
1.131 1.218 5 6800 0 200 12  8 3974 7.076 1.0543 0.0509 0 8.994 1.1917 0.05427 6.31 1.1072 0.05427 
1.218 1.305 5 6800 0 200 12  8 3699 7.674 1.0767 0.0567 0 8.796 1.2169 0.0579 5.402 1.1741 0.0579 
1.305 1.392 5 6800 0 200 12  8 3435 7.999 1.1506 0.0546 0 8.586 1.3234 0.07107 6.764 1.135 0.06516 
1.392 1.479 5 6800 0 200 12  8 3183 7.731 1.2011 0.0543 0 6.882 1.4145 0.07522 4.307 1.2994 0.05178 
1.479 1.566 5 6800 0 200 12  8 2946 8.297 1.0661 0.0537 0 8.381 1.3513 0.07586 6.664 1.1294 0.05552 
1.566 1.653 5 6800 0 200 12  8 2721 7.656 1.0264 0.0439 0 7.024 1.3029 0.05173 5.031 1.1525 0.04352 
1.653 1.74 5 6800 0 200 12  8 2511 7.77 1.0362 0.0458 0 7.509 1.2958 0.04108 5.448 1.1429 0.03674 
1.74 1.83 5 6800 0 200 12  8 2315 8.102 1.0334 0.0469 0 7.116 1.2845 0.04172 5.043 1.1677 0.03396 
1.83 1.93 5 6800 0 200 12  8 2126 8.762 0.925 0.0428 0 6.627 1.3045 0.03637 4.403 1.1827 0.03388 
1.93 2.043 5 6800 0 200 12  8 1933 9.185 0.8503 0.0407 0 7.603 1.2361 0.03451 5.628 1.1357 0.03 
2.043 2.172 5 6800 0 200 12  8 1733 9.5 0.8213 0.0431 0 6.805 1.2958 0.03268 4.763 1.1887 0.03 
2.172 2.322 5 6800 0 200 12  8 1529 10.073 0.7677 0.0434 0 8.539 1.2267 0.03636 6.746 1.0893 0.03 
2.322 2.5 5 6800 0 200 12  8 1321 10.24 0.7777 0.044 0 8.971 1.1395 0.05851 7.188 1.0647 0.03 
2.5 2.65 5 6800 0 200 12  8 1108 11.888 0.7025 0.047 0 8.069 1.257 0.08708 7.39 1.1009 0.03 
2.65 2.853 5 6800 0 200 12  8 956 13.88 0.5 0.0555 0 6.664 1.3783 0.12819 6.664 1.2426 0.03 
2.853 2.964 5 6800 0 200 12  8 781 13.333 0.9802 0.0808 18.23 3 1.5401 0.20329 3 1.4954 0.06433 
2.964 3.139 5 6800 0 200 12  8 700 9.24 1.3154 0.12 20 6.248 1.6188 0.17288 3.544 1.3805 0.11745 
3.139 3.314 5 6800 0 200 12  8 588 0.014 1.0215 0.0939 19.11 7.627 1.0913 0.10908 6.517 1.0913 0.065 
3.314 3.489 5 6800 0 200 12  8 493 0.007 1.0336 0.0809 18.57 8.071 1.0684 0.09249 7.227 1.0684 0.065 
3.489 3.664 5 6800 0 200 12  8 414 0.011 0.865 0.0879 17.34 6.736 1.0537 0.10775 5.937 1.0332 0.065 
3.664 3.839 5 6800 0 200 12  8 348 4.611 0.5 0.0825 13.51 6.748 0.9226 0.09781 6.424 0.7813 0.065 
3.839 4.013 5 6800 0 200 12  8 292 3.842 0.5 0.0841 14.08 6.475 0.9471 0.10554 6.475 0.8286 0.065 
4.013 4.191 5 6800 0 200 12  8 245 2.731 0.5001 0.0919 14.84 9.48 0.5745 0.10485 9 0.5 0.065 
4.191 4.363 5 6800 0 200 12  8 205 0.005 0.7488 0.08 15.2 9.413 0.6167 0.12 9 0.5469 0.065 
4.363 4.538 5 6800 0 200 12  8 173 0.007 0.8243 0.08 14.9 9.667 0.5 0.12 9 0.5 0.065 
4.538 4.716 5 6800 0 200 12  8 145 0.01 0.8666 0.08 15.58 10 0.6624 0.09468 9 0.5 0.065 
4.716 4.889 5 6800 0 200 12  8 121 5.741 0.5 0.08 12.68 10 0.8377 0.12 9 0.7539 0.065 
4.889 5.191 5 6800 0 200 12  8 102 4.505 0.524 0.08 13.53 10.863 0.6689 0.12 10.863 0.5 0.065 
